year,pages,pdf_size_bytes,md_size_bytes
1955,412,2140107,947991
1956,387,2020598,900408
1957,425,2287100,1056416
1958,618,3385861,1621665
1959,1256,5974902,2609388
1960,1056,5079933,2158332
1961,933,5129152,2493343
1962,793,3796801,1583181
1963,690,3260502,1326641
1964,798,3777722,1554537
1965,912,4335220,1804263
1966,794,3750680,1536669
1967,513,2423934,973804
1968,774,3601082,1433573
1969,608,2810600,1087382
1970,507,2326380,879430
1971,874,3983423,1542266
1972,940,4281800,1659091
1973,1170,5284738,2054942
1974,753,3433543,1331142
1975,768,3490355,1346796
1976,803,3661225,1416667
1977,631,2835972,1056978
1978,841,3814529,1455317
1979,517,2361422,882399
1980,646,2886608,1057031
1981,548,2796202,1257001
1982,487,2504827,1127764
1983,461,2341497,1037622
1984,578,2881756,1270866
1985,645,3249359,1442541
1986,650,3276173,1461347
1987,610,3032818,1333146
1988,654,3249493,1427647
1989,504,2517481,1095108
1990,403,1938800,795628
1991,406,2008333,844614
1992,582,2842832,1203303
1993,554,2648209,1103401
1994,412,1953131,794117
1995,527,2493954,1025883
1996,303,1457600,627831
1997,193,943103,389376
1998,309,1499566,663635
1999,118,626812,265202
